source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	material type	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]
Sample 1	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, GW9662 exposure	run 1	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GW_4_1_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GW_4_1_F1.raw
Sample 2	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, GW9662 exposure	run 2	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GW_4_1_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GW_4_1_F2.raw
Sample 3	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, GW9662 exposure	run 3	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GW_4_2_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GW_4_2_F1.raw
Sample 4	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, GW9662 exposure	run 4	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GW_4_2_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GW_4_2_F2.raw
Sample 5	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, GW9662 exposure	run 5	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GW_4_3_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GW_4_3_F1.raw
Sample 6	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, GW9662 exposure	run 6	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GW_4_3_F.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GW_4_3_F.raw
Sample 7	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, GW9662 exposure	run 7	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GW_4_4_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GW_4_4_F1.raw
Sample 8	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, GW9662 exposure	run 8	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GW_4_4_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GW_4_4_F2.raw
Sample 9	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, GW9662+10 µM MINCH exposure	run 9	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWMINCH_6_1_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWMINCH_6_1_F1.raw
Sample 10	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, GW9662+10 µM MINCH exposure	run 10	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWMINCH_6_1_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWMINCH_6_1_F2.raw
