source name	characteristics[age]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[individual]	characteristics[organism part]	characteristics[organism]	characteristics[sex]	technology type	assay name	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters].1	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]
EXII01980std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate1	Trypsin	EXII01980std.raw	1	0.02Da	Orbitrap Exploris 480	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	5ppm	1	lesSDRF v0.1.0
EXII01990std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate2	Trypsin	EXII01990std.raw	1	0.02Da	Orbitrap Exploris 480	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	5ppm	2	lesSDRF v0.1.0
EXII02015std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate3	Trypsin	EXII02015std.raw	1	0.02Da	Orbitrap Exploris 480	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	5ppm	3	lesSDRF v0.1.0
EXII02040std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate4	Trypsin	EXII02040std.raw	1	0.02Da	Orbitrap Exploris 480	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	5ppm	4	lesSDRF v0.1.0
EXII02065std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate5	Trypsin	EXII02065std.raw	1	0.02Da	Orbitrap Exploris 480	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	5ppm	5	lesSDRF v0.1.0
EXII02090std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate6	Trypsin	EXII02090std.raw	1	0.02Da	Orbitrap Exploris 480	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	5ppm	6	lesSDRF v0.1.0
EXII02115std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate7	Trypsin	EXII02115std.raw	1	0.02Da	Orbitrap Exploris 480	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	5ppm	7	lesSDRF v0.1.0
EXII02140std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate8	Trypsin	EXII02140std.raw	1	0.02Da	Orbitrap Exploris 480	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	5ppm	8	lesSDRF v0.1.0
EXII02162std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate9	Trypsin	EXII02162std.raw	1	0.02Da	Orbitrap Exploris 480	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	5ppm	9	lesSDRF v0.1.0
EXII02180std	58Y	Not available	1	A549	epithelial cell	lung adenocarcinoma	1	lung epithelium	Homo sapiens	M	proteomic profiling by mass spectrometry	replicate10	Trypsin	EXII02180std.raw	1	0.02Da	Orbitrap Exploris 480	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	5ppm	10	lesSDRF v0.1.0
